,try_n,vulnerability_id,fix_commit_mean_sim,not_fix_commit_mean_sim,num_fix_commit,type
76,0,CVE-2019-9514,1.0,0.3515987381042337,1,spacy
77,0,CVE-2019-9514,1.0,0.20672319839450815,1,fasttext
78,0,CVE-2019-9515,1.0,0.32487244182680197,1,spacy
79,0,CVE-2019-9515,1.0,0.2256492787804029,1,fasttext
80,0,CVE-2019-9518,1.0,0.250668040283725,1,spacy
81,0,CVE-2019-9518,1.0,0.3467311159517141,1,fasttext
82,0,CVE-2020-11612,1.0,0.331638219142088,1,spacy
83,0,CVE-2020-11612,1.0,0.3651604857517217,1,fasttext
84,0,CVE-2020-7238,1.0,0.40767937751326055,1,spacy
85,0,CVE-2020-7238,1.0,0.2623850208398635,1,fasttext
86,0,CVE-2017-18349,1.0,0.7652062380524413,1,spacy
87,0,CVE-2017-18349,1.0,0.7098929414939852,1,fasttext
88,0,CVE-2017-12610,1.0,0.5396075807964712,3,spacy
89,0,CVE-2017-12610,1.0,0.5143630334072643,3,fasttext
90,0,CVE-2018-17196,1.0,0.49639419846294597,1,spacy
91,0,CVE-2018-17196,1.0,0.43227218836545944,1,fasttext
92,0,CVE-2019-12399,0.9776733927555912,0.6177338304393902,4,spacy
93,0,CVE-2019-12399,0.9776733927428722,0.5994753759354353,4,fasttext
94,0,CVE-2018-17297,0.8714687741457899,0.6516244357308717,3,spacy
95,0,CVE-2018-17297,0.875591499123225,0.6661623164940769,3,fasttext
96,0,CVE-2020-13921,1.0,0.308580354392915,1,spacy
97,0,CVE-2020-13921,1.0000000000000002,0.27269210688740075,1,fasttext
98,0,CVE-2020-9483,1.0,0.21513582549774504,1,spacy
99,0,CVE-2020-9483,1.0,0.12190091814083193,1,fasttext
100,0,CVE-2020-1960,0.9956901047396237,0.3523976578609177,11,spacy
101,0,CVE-2020-1960,0.9962766516907325,0.3553364823490126,11,fasttext
102,0,CVE-2019-17572,1.0,0.7246277191679453,1,spacy
103,0,CVE-2019-17572,1.0,0.7197180441827457,1,fasttext
104,0,CVE-2020-12480,0.9600292676452558,0.5370347714458653,1,spacy
105,0,CVE-2020-12480,0.960029371649632,0.5975341186824032,1,fasttext
106,0,CVE-2017-7669,0.9650059184089016,0.6004512025181306,2,spacy
107,0,CVE-2017-7669,0.979419604564748,0.65946004360517,2,fasttext
108,0,CVE-2018-11768,1.0,0.32839124719328444,1,spacy
109,0,CVE-2018-11768,1.0,0.3474981873276413,1,fasttext
110,0,CVE-2018-8009,1.0,0.4779315942428231,13,spacy
111,0,CVE-2018-8009,1.0,0.4609237835323404,13,fasttext
112,0,CVE-2018-12541,1.0,0.5592317833998973,1,spacy
113,0,CVE-2018-12541,1.0,0.5381217641076075,1,fasttext
114,0,CVE-2020-1958,0.8468820472521317,0.3017064537662332,1,spacy
115,0,CVE-2020-1958,0.9755470054216724,0.2223016612964756,1,fasttext
116,0,CVE-2018-11248,0.8864644178395089,0.5894976154011855,1,spacy
117,0,CVE-2018-11248,0.8583664170761196,0.5714740969944688,1,fasttext
118,0,CVE-2017-5637,1.0,0.24073795166620307,1,spacy
119,0,CVE-2017-5637,1.0,0.19926923574717662,1,fasttext
120,0,CVE-2019-0201,1.0,0.3210128910799054,3,spacy
121,0,CVE-2019-0201,1.0,0.3047141835352944,3,fasttext
122,0,CVE-2016-9177,1.0,0.7330082405456787,1,spacy
123,0,CVE-2016-9177,1.0,0.7516433852038511,1,fasttext
124,0,CVE-2018-9159,0.7384579578718358,0.7484978024620854,2,spacy
125,0,CVE-2018-9159,0.8200088212798344,0.7514071522409302,2,fasttext
126,1,CVE-2015-1427,0.6871245410595425,0.21505737557845464,3,spacy
127,1,CVE-2015-1427,0.6871245460410819,0.20080489665079773,3,fasttext
128,1,CVE-2015-5531,0.7726663619802105,0.32632416127329955,1,spacy
129,1,CVE-2015-5531,0.7726664426370389,0.3981482603574323,1,fasttext
130,1,CVE-2019-7619,1.0,0.3352149243440208,1,spacy
131,1,CVE-2019-7619,1.0,0.29982547102812235,1,fasttext
132,1,CVE-2020-7009,1.0,0.32910414734633187,3,spacy
133,1,CVE-2020-7009,1.0,0.32167727402696433,3,fasttext
