,vulnerability_id,commit_id,spacy_similarity,rank
56,CVE-2018-10237,f89ece5721b2f637fe754937ff1f3c86d80bb196,0.7969827746460671,129
57,CVE-2016-2402,3ccb46dd16b6ec98f70b0ee53eafe5ed6380891e,0.7934575265036771,57
58,CVE-2016-2402,784fabac7d1586a5614bd4bc8854fd62850dbe26,0.8673396779451285,35
59,CVE-2016-2402,5377f25d9eed755328216912ef5e922c93e14f3e,0.7934575265036771,59
60,CVE-2018-1000844,97057aaae42e54bfbee8acfa8af7dcf37e812342,0.3689281080403053,3
61,CVE-2018-1000850,b9a7f6ad72073ddd40254c0058710e87a073047d,0.9167591827560428,38
62,CVE-2017-12612,8efc6e986554ae66eab93cd64a9035d716adbab0,1.0,4
63,CVE-2017-12612,f7cbf90a72a19476ea2d3d1ddc96c45a24b9f57d,1.0,4
64,CVE-2017-12612,0b25a7d93359e348e11b2e8698990a53436b3c5d,0.2945497003004313,78
65,CVE-2017-12612,4cba3b5a350f4d477466fc73b32cbd653eee8405,1.0,4
66,CVE-2017-12612,772a9b969aa179150aa216e9efd950e512e9d0b4,1.0,4
67,CVE-2017-12612,9952b53b57498852cba799b47f00238e52114c7c,0.2945497003004313,78
68,CVE-2020-9480,9416b7c54bdf5613c1a65e6d1779a87591c6c9bd,0.93520735773608,5
69,CVE-2020-9480,c80d5f7aa0fd9e7b37e1bf4175204750098a44a6,0.93520735773608,5
70,CVE-2014-0193,8599ab5bdb761bb99d41a975d689f74c12e4892b,0.8389287183822443,16
71,CVE-2014-3488,2fa9400a59d0563a66908aba55c41e7285a04994,1.0,4
72,CVE-2016-4970,524156f164a910b8b0978d27a2c700a19cd8048f,1.0,87
73,CVE-2016-4970,9e2c400f89c5badc39919f811179d3d42ac5257c,1.0,87
74,CVE-2019-16869,017a9658c97ff1a1355c31a6a1f8bd1ea6f21c8d,1.0,1
75,CVE-2019-16869,39cafcb05c99f2aa9fce7e6597664c9ed6a63a95,0.7741402758943969,26
76,CVE-2019-20445,ac76a24ff6d3cd0f59a2833c2f83eb82184ecaeb,0.8513577291338804,25
77,CVE-2019-9512,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.2605951714018437,663
78,CVE-2019-9514,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.5455615683044235,177
79,CVE-2019-9515,cecb46a3dd1737cef38ae49ad5f57ac7a1b2faaa,0.5692396751792048,137
80,CVE-2019-9518,7003dbdc0801fd65b75700acb2cf77044075ff8c,0.6830173836033442,123
81,CVE-2020-11612,fa7e69bf30aea2ed11fb93806771a5688b8378f0,0.7211912212033835,30
