,try_n,vulnerability_id,fix_commit_mean_sim,not_fix_commit_mean_sim,num_fix_commit,type
76,0,CVE-2019-9514,1.0,0.14722138552136022,1,spacy
77,0,CVE-2019-9514,1.0,0.09307919371868034,1,fasttext
78,0,CVE-2019-9515,1.0,0.13849952825987674,1,spacy
79,0,CVE-2019-9515,1.0,0.2984063310916447,1,fasttext
80,0,CVE-2019-9518,1.0,0.0960581340144354,1,spacy
81,0,CVE-2019-9518,1.0,0.16227666943203412,1,fasttext
82,0,CVE-2020-11612,1.0,0.4057299300841348,1,spacy
83,0,CVE-2020-11612,1.0,0.2584841842935521,1,fasttext
84,0,CVE-2020-7238,1.0,0.08821230515243644,1,spacy
85,0,CVE-2020-7238,1.0,0.3346419354786833,1,fasttext
86,0,CVE-2017-18349,1.0,0.6740174834403176,1,spacy
87,0,CVE-2017-18349,1.0,0.8563950328046244,1,fasttext
88,0,CVE-2017-12610,1.0,0.5391582258529639,3,spacy
89,0,CVE-2017-12610,1.0,0.5897342463334402,3,fasttext
90,0,CVE-2018-17196,1.0,0.4193824283220885,1,spacy
91,0,CVE-2018-17196,1.0,0.6648736298084259,1,fasttext
92,0,CVE-2019-12399,0.9776733927555912,0.5603723874088186,4,spacy
93,0,CVE-2019-12399,0.9776733927428722,0.5913589634001256,4,fasttext
94,0,CVE-2018-17297,0.8714687741457899,0.7306112397129308,3,spacy
95,0,CVE-2018-17297,0.875591499123225,0.6472926171113572,3,fasttext
96,0,CVE-2020-13921,1.0,0.8860244370447513,1,spacy
97,0,CVE-2020-13921,1.0000000000000002,0.4700495890842272,1,fasttext
98,0,CVE-2020-9483,1.0,0.19599841115790975,1,spacy
99,0,CVE-2020-9483,1.0,0.19599848654416965,1,fasttext
100,0,CVE-2020-1960,0.9956901047396237,0.36302891021359684,11,spacy
101,0,CVE-2020-1960,0.9962766516907325,0.3605786548095507,11,fasttext
102,0,CVE-2019-17572,1.0,1.0,1,spacy
103,0,CVE-2019-17572,1.0,0.21170580854860024,1,fasttext
104,0,CVE-2020-12480,0.9600292676452558,0.3220597609896497,1,spacy
105,0,CVE-2020-12480,0.960029371649632,0.3536427494541096,1,fasttext
106,0,CVE-2017-7669,0.9650059184089016,0.7142503191669246,2,spacy
107,0,CVE-2017-7669,0.979419604564748,0.721819091534556,2,fasttext
108,0,CVE-2018-11768,1.0,0.2968641321277136,1,spacy
109,0,CVE-2018-11768,1.0,0.34067540520026157,1,fasttext
110,0,CVE-2018-8009,1.0,0.5085474616176795,13,spacy
111,0,CVE-2018-8009,1.0,0.49197064704133603,13,fasttext
112,0,CVE-2018-12541,1.0,0.4219558574021913,1,spacy
113,0,CVE-2018-12541,1.0,0.7105792376667488,1,fasttext
114,0,CVE-2020-1958,0.8468820472521317,0.5824298946110741,1,spacy
115,0,CVE-2020-1958,0.9755470054216724,0.33681021115799165,1,fasttext
116,0,CVE-2018-11248,0.8864644178395089,0.6237496709064771,1,spacy
117,0,CVE-2018-11248,0.8583664170761196,0.7142069147315713,1,fasttext
118,0,CVE-2017-5637,1.0,0.3998345997085419,1,spacy
119,0,CVE-2017-5637,1.0,0.19024750575388338,1,fasttext
120,0,CVE-2019-0201,1.0,0.42075893495912514,3,spacy
121,0,CVE-2019-0201,1.0,0.3055418593988284,3,fasttext
122,0,CVE-2016-9177,1.0,0.8788618105221442,1,spacy
123,0,CVE-2016-9177,1.0,0.2933057632023703,1,fasttext
124,0,CVE-2018-9159,0.7384579578718358,0.8732846669344911,2,spacy
125,0,CVE-2018-9159,0.8200088212798344,0.8738399509652515,2,fasttext
126,1,CVE-2015-1427,0.6871245410595425,0.22356769509730356,3,spacy
127,1,CVE-2015-1427,0.6871245460410819,0.1582371211269105,3,fasttext
128,1,CVE-2015-5531,0.7726663619802105,0.2413093985870116,1,spacy
129,1,CVE-2015-5531,0.7726664426370389,0.42050231643134817,1,fasttext
130,1,CVE-2019-7619,1.0,0.3339247699972536,1,spacy
131,1,CVE-2019-7619,1.0,0.4020617896183134,1,fasttext
132,1,CVE-2020-7009,1.0,0.3787356975827651,3,spacy
