,cve,project_name,project_url,commit_sha,similarity,match
43,CVE-2018-1270,spring-framework,https://github.com/spring-projects/spring-framework,d3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6,0.22841866017238088,True
44,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,98ad23bef8e2e04143f8f5b201380543a8d8c0c,0.98325412065453,True
45,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,f59ea610dfcf55cd0b42f6dd76a9b3dab0218aa,0.98325412065453,True
46,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,0e28bee0f155b9bf240b4bafc4646e4810cb23f,0.8317178569557049,True
47,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,13356a7ee2240f740737c5c83bdccdacc30603a,0.7065043542777609,True
48,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,91b803a2310344d925e5d4b1709bbcea9037554,0.8162115735446793,True
49,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,695bf2961feffd35b5560ccc982a2189dcca611,0.98325412065453,True
50,CVE-2018-1271,spring-framework,https://github.com/spring-projects/spring-framework,b9ebdaaf3710db473a2e1fec8641c316483a22a,0.98325412065453,True
51,CVE-2018-1272,spring-framework,https://github.com/spring-projects/spring-framework,ab2410c754b67902f002bfcc0c3895bd7772d39,1.0,True
52,CVE-2018-1272,spring-framework,https://github.com/spring-projects/spring-framework,e02ff3a0da50744b0980d5d665fd242eedea767,1.0,True
53,CVE-2018-1275,spring-framework,https://github.com/spring-projects/spring-framework,1db7e02de3eb0c011ee6681f5a12eb9d166fea8,0.22841866017238088,True
54,CVE-2018-1275,spring-framework,https://github.com/spring-projects/spring-framework,d3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6,0.22841866017238088,True
55,CVE-2018-15756,spring-framework,https://github.com/spring-projects/spring-framework,c8e320019ffe7298fc4cbeeb194b2bfd6389b6d,0.716647700484601,True
56,CVE-2018-15756,spring-framework,https://github.com/spring-projects/spring-framework,044772641d12b9281185f6cf50f8485b8747132,0.716647700484601,True
57,CVE-2018-15756,spring-framework,https://github.com/spring-projects/spring-framework,423aa28ed584b4ff6e5bad218c09beef5e91951,0.716647700484601,True
58,CVE-2020-5397,spring-framework,https://github.com/spring-projects/spring-framework,bc7d01048579430b4b2df668178809b63d3f1929,1.0,True
59,CVE-2020-5398,spring-framework,https://github.com/spring-projects/spring-framework,956ffe68587c8d5f21135b5ce4650af0c2dea933,0.8940571516878026,True
60,CVE-2018-10237,guava,https://github.com/google/guava,f89ece5721b2f637fe754937ff1f3c86d80bb196,0.7969827746460671,True
61,CVE-2016-2402,okhttp,https://github.com/square/okhttp,3ccb46dd16b6ec98f70b0ee53eafe5ed6380891e,0.7934575265036771,True
62,CVE-2016-2402,okhttp,https://github.com/square/okhttp,784fabac7d1586a5614bd4bc8854fd62850dbe26,0.8673396779451285,True
63,CVE-2016-2402,okhttp,https://github.com/square/okhttp,5377f25d9eed755328216912ef5e922c93e14f3,0.7934575265036771,True
64,CVE-2018-1000844,retrofit,https://github.com/square/retrofit,97057aaae42e54bfbee8acfa8af7dcf37e812342,0.3689281080403053,True
65,CVE-2018-1000850,retrofit,https://github.com/square/retrofit,b9a7f6ad72073ddd40254c0058710e87a073047d,0.9167591827560428,True
66,CVE-2017-12612,spark,https://github.com/apache/spark,8efc6e986554ae66eab93cd64a9035d716adbab,1.0,True
67,CVE-2017-12612,spark,https://github.com/apache/spark,f7cbf90a72a19476ea2d3d1ddc96c45a24b9f57,1.0,True
68,CVE-2017-12612,spark,https://github.com/apache/spark,0b25a7d93359e348e11b2e8698990a53436b3c5,0.29454970030043126,True
69,CVE-2017-12612,spark,https://github.com/apache/spark,4cba3b5a350f4d477466fc73b32cbd653eee840,1.0,True
70,CVE-2017-12612,spark,https://github.com/apache/spark,772a9b969aa179150aa216e9efd950e512e9d0b4,1.0,True
71,CVE-2017-12612,spark,https://github.com/apache/spark,9952b53b57498852cba799b47f00238e52114c7c,0.29454970030043126,True
72,CVE-2020-9480,spark,https://github.com/apache/spark,9416b7c54bdf5613c1a65e6d1779a87591c6c9b,0.9352073577360799,True
73,CVE-2020-9480,spark,https://github.com/apache/spark,c80d5f7aa0fd9e7b37e1bf4175204750098a44a,0.9352073577360799,True
74,CVE-2014-0193,netty,https://github.com/netty/netty,8599ab5bdb761bb99d41a975d689f74c12e4892b,0.8389287183822443,True
75,CVE-2014-3488,netty,https://github.com/netty/netty,2fa9400a59d0563a66908aba55c41e7285a04994,1.0,True
76,CVE-2015-2156,netty,https://github.com/netty/netty,97d871a7553a01384b43df855dccdda5205ae77,1.0,True
77,CVE-2015-2156,netty,https://github.com/netty/netty,2caa38a2795fe1f1ae6ceda4d69e826ed7c55e5,0.9970566081628713,True
78,CVE-2015-2156,netty,https://github.com/netty/netty,31815598a2af37f0b71ea94eada70d6659c2375,0.9970566081628713,True
